Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ATAD3A	gene	ATAD3A	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Harel-Yoon syndrome, OMIM:617183;Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, OMIM:618810				27640307		False	3	50;50;0	7.6	True		ENSG00000197785	ENSG00000197785	HGNC:25567													
ATP5A1	gene	ATP5A1	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4, OMIM: 615228;Combined oxidative phosphorylation deficiency 22, OMIM: 616045				23596069;23599390;34483339;34954817		False	3	75;25;0	7.6	True		ENSG00000152234	ENSG00000152234	HGNC:823													
ATP5D	gene	ATP5D	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex V (ATP synthase) deficiency, 618120				29478781		False	3	0;0;0	7.6	False		ENSG00000099624	ENSG00000099624	HGNC:837													
ATP5E	gene	ATP5E	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3, OMIM:614053;mitochondrial complex V (ATP synthase) deficiency nuclear type 3, MONDO:0013547				20566710;25954304;34954817		False	3	100;0;0	7.6	True		ENSG00000124172	ENSG00000124172	HGNC:838													
ATP5G3	gene	ATP5G3	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia, early-onset, and/or spastic paraplegia, OMIM:619681				34636445;34954817		False	3	67;33;0	7.6	True		ENSG00000154518	ENSG00000154518	HGNC:843													
ATP5O	gene	ATP5O	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 7, OMIM:620359				34954817;35621276		False	3	67;33;0	7.6	True		ENSG00000241837	ENSG00000241837	HGNC:850													
ATPAF2	gene	ATPAF2	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex V deficiency;Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273;Mitochondrial Complex V (ATP Synthase) Deficiency, Nuclear Type;Mitochondrial Diseases				14757859;19933271		False	3	50;50;0	7.6	False		ENSG00000171953	ENSG00000171953	HGNC:18802													
BCS1L	gene	BCS1L	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex III deficiency;Mitochondrial complex III deficiency, nuclear type 1, 124000;Leigh syndrome, 256000;Bjornstad syndrome, 262000;GRACILE syndrome, 603358;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex III Deficiency						False	3	100;0;0	7.6	False		ENSG00000074582	ENSG00000074582	HGNC:1020													
BOLA3	gene	BOLA3	Expert;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of iron homeostasis;Multiple mitochondrial dysfunctions syndrome 2, 614299;Hyperglycinaemia, non-ketotic (Baker (2014) Brain 137,366);Multiple Mitochondrial Dysfunctions Syndrome						False	3	100;0;0	7.6	True		ENSG00000163170	ENSG00000163170	HGNC:24415													
C12orf65	gene	C12orf65	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 7, OMIM:613559;Spastic paraplegia 55, autosomal recessive, OMIM:615035						False	3	100;0;0	7.6	True		ENSG00000130921	ENSG00000130921	HGNC:26784													
C19orf70	gene	C19orf70	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 37, 618329				29618761;27485409;27623147		False	3	0;0;0	7.6	False		ENSG00000174917	ENSG00000174917	HGNC:33702													
C1QBP	gene	C1QBP	Expert list;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 33, MIM#617713				28942965		False	3	100;0;0	7.6	True		ENSG00000108561	ENSG00000108561	HGNC:1243													
C2orf69	gene	C2orf69	Expert Review Green;Literature;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 53, OMIM:619423				34038740;33945503		False	3	100;0;0	7.6	False		ENSG00000178074	ENSG00000178074	HGNC:26799													
CA5A	gene	CA5A	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperammonemia due to carbonic anhydrase VA deficiency, 615751				26913920;24530203		False	3	0;0;0	7.6	False		ENSG00000174990	ENSG00000174990	HGNC:1377													
CARS2	gene	CARS2	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 27 616672;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);No OMIM phenotype				25361775;25787132;30139652		False	3	100;0;0	7.6	False		ENSG00000134905	ENSG00000134905	HGNC:25695													
CHCHD10	gene	CHCHD10	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	?Myopathy, isolated mitochondrial, autosomal dominant, 616209;Frontotemporal dementia and/or amyotrophic lateral sclerosis 2;Spinal muscular atrophy, Jokela type						False	3	100;0;0	7.6	False		ENSG00000250479	ENSG00000250479	HGNC:15559													
CLPB	gene	CLPB	Expert list;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type VIIB, autosomal recessive, OMIM:616271;3-methylglutaconic aciduria, type VIIA, autosomal dominant, OMIM: 619835;Neutropenia, severe congenital, 9, autosomal dominant, OMIM: 619813				25597510;25597511;25650066;26916670;28687938;34140661		False	3	100;0;0	7.6	True		ENSG00000162129	ENSG00000162129	HGNC:30664													
CLPP	gene	CLPP	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Perrault syndrome 3, 614129						False	3	100;0;0	7.6	True		ENSG00000125656	ENSG00000125656	HGNC:2084													
COA6	gene	COA6	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 13, OMIM:616501				22277967;24549041;25959673;25339201		False	3	100;0;0	7.6	False		ENSG00000168275	ENSG00000168275	HGNC:18025													
COA7	gene	COA7	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 OMIM:618387;spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 MONDO:0020770				29718187;27683825		False	3	0;0;0	7.6	False		ENSG00000162377	ENSG00000162377	HGNC:25716													
COQ2	gene	COQ2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 1, OMIM:607426						False	3	100;0;0	7.6	True		ENSG00000173085	ENSG00000173085	HGNC:25223													
COQ4	gene	COQ4	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 7, OMIM:616276						False	3	100;0;0	7.6	True		ENSG00000167113	ENSG00000167113	HGNC:19693													
COQ6	gene	COQ6	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Steroid-resistant nephrotic syndrome;Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 6, 614650				PMID: 21540551		False	3	100;0;0	7.6	True		ENSG00000119723	ENSG00000119723	HGNC:20233													
COQ7	gene	COQ7	Expert list;Expert Review;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	?Coenzyme Q10 deficiency, primary, 8 616733;complex multisystem presentation				28409910;26084283;30369941		False	3	50;50;0	7.6	True		ENSG00000167186	ENSG00000167186	HGNC:2244													
COQ8A	gene	COQ8A	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 4, 612016;Coenzyme Q10 deficiency						False	3	100;0;0	7.6	True		ENSG00000163050	ENSG00000163050	HGNC:16812													
COQ8B	gene	COQ8B	Expert;Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 9				PMID: 24270420 (8 unrelated families).		False	3	100;0;0	7.6	True		ENSG00000123815	ENSG00000123815	HGNC:19041													
COQ9	gene	COQ9	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 5, 614654;Coenzyme Q10 deficiency						False	3	50;50;0	7.6	True		ENSG00000088682	ENSG00000088682	HGNC:25302													
COX10	gene	COX10	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 3, OMIM:619046						False	3	100;0;0	7.6	False		ENSG00000006695	ENSG00000006695	HGNC:2260													
COX11	gene	COX11	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 23, OMIM:620275;Mitochondrial complex IV deficiency, nuclear type 23, MONDO:0859520				36030551;38068960		False	3	50;0;50	7.6	False		ENSG00000166260	ENSG00000166260	HGNC:2261													
COX15	gene	COX15	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 6, OMIM:615119						False	3	100;0;0	7.6	False		ENSG00000014919	ENSG00000014919	HGNC:2263													
COX20	gene	COX20	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex IV deficiency;Mitochondrial complex IV deficiency, 220110						False	3	100;0;0	7.6	True		ENSG00000203667	ENSG00000203667	HGNC:26970													
COX5A	gene	COX5A	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	?Mitochondrial complex IV deficiency, nuclear type 20, OMIM:619064;Mitochondrial complex IV deficiency, nuclear type 23, MONDO:0859520				28247525;35246835		False	3	50;50;0	7.6	True		ENSG00000178741	ENSG00000178741	HGNC:2267													
COX6A1	gene	COX6A1	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Charcot-Marie-Tooth disease, recessive intermediate D, 616039						False	3	100;0;0	7.6	True		ENSG00000111775	ENSG00000111775	HGNC:2277													
COX6A2	gene	COX6A2	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 18, OMIM:619062				23460811;31155743;32744742		False	3	67;33;0	7.6	False		ENSG00000156885	ENSG00000156885	HGNC:2279													
COX6B1	gene	COX6B1	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 7, OMIM:619051				18499082;24781756		False	3	100;0;0	7.6	False		ENSG00000126267	ENSG00000126267	HGNC:2280													
COX7B	gene	COX7B	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Isolated complex IV deficiency;Aplasia cutis congenita, reticulolinear, with microcephaly, facial dysmorphism and other congenital anomalies, 300887;MICROPHTHALMIA WITH LINEAR SKIN LESIONS;Linear skin defects with multiple congenital anomalies						False	3	100;0;0	7.6	True		ENSG00000131174	ENSG00000131174	HGNC:2291													
CRLS1	gene	CRLS1	Expert Review Green;Literature;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 57, OMIM:620167				35147173		False	3	100;0;0	7.6	False		ENSG00000088766	ENSG00000088766	HGNC:16148													
CYC1	gene	CYC1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex III deficiency;Mitochondrial complex III deficiency, nuclear type 6, 615453						False	3	100;0;0	7.6	True		ENSG00000179091	ENSG00000179091	HGNC:2579													
CYCS	gene	CYCS	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Thrombocytopenia 4, OMIM:612004				18345000;24326104;30051457		False	3	100;0;0	7.6	False		ENSG00000172115	ENSG00000172115	HGNC:19986													
DARS2	gene	DARS2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, 611105						False	3	100;0;0	7.6	True		ENSG00000117593	ENSG00000117593	HGNC:25538													
DGUOK	gene	DGUOK	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of mitochondrial DNA maintenance and integrity;Mitochondrial DNA depletion syndrome 3 (hepatocerebral type), 251880;Mitochondrial DNA Depletion Syndrome						False	3	100;0;0	7.6	False		ENSG00000114956	ENSG00000114956	HGNC:2858													
DLAT	gene	DLAT	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Pyruvate dehydrogenase E2 deficiency, 245348						False	3	100;0;0	7.6	True		ENSG00000150768	ENSG00000150768	HGNC:2896													
DLD	gene	DLD	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Dihydrolipoamide dehydrogenase deficiency, 246900;Leigh syndrome						False	3	100;0;0	7.6	True		ENSG00000091140	ENSG00000091140	HGNC:2898													
DNA2	gene	DNA2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Disorders of mitochondrial DNA maintenance and integrity;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 6;615156						False	3	100;0;0	7.6	True		ENSG00000138346	ENSG00000138346	HGNC:2939													
DNAJC19	gene	DNAJC19	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of the mitochondrial import system;3-methylglutaconic aciduria, type V, 610198				16055927;22797137;27604308;27928778;27426421		False	3	100;0;0	7.6	False		ENSG00000205981	ENSG00000205981	HGNC:30528													
DNM1L	gene	DNM1L	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission, 614388				PMID: 26825290;17460227		False	3	100;0;0	7.6	True		ENSG00000087470	ENSG00000087470	HGNC:2973													
DNM2	gene	DNM2	Expert list;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Centronuclear myopathy 1, 160150;Charcot-Marie-Tooth disease, axonal type 2M, 606482;Charcot-Marie-Tooth disease, dominant intermediate B, 606482				23813975;https://doi.org/10.1016/j.nmd.2012.06.124		False	3	100;0;0	7.6	True		ENSG00000079805	ENSG00000079805	HGNC:2974													
EARS2	gene	EARS2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 12, 614924						False	3	100;0;0	7.6	True		ENSG00000103356	ENSG00000103356	HGNC:29419													
ECHS1	gene	ECHS1	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency, OMIM:616277						False	3	100;0;0	7.6	True		ENSG00000127884	ENSG00000127884	HGNC:3151													
ELAC2	gene	ELAC2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 17, 615440;infantile hypertrophic cardiomyopathy, lactic acidosis, and isolated complex I deficiency						False	3	100;0;0	7.6	True		ENSG00000006744	ENSG00000006744	HGNC:14198													
ETFDH	gene	ETFDH	Expert list;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of ubiquinone metabolism and biosynthesis;GLUTARIC ACIDURIA TYPE 2C;Glutaric acidemia IIC						False	3	100;0;0	7.6	True		ENSG00000171503	ENSG00000171503	HGNC:3483													
ETHE1	gene	ETHE1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex IV deficiency;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Ethylmalonic encephalopathy, 602473;Ethylmalonic encephalopathy						False	3	100;0;0	7.6	True		ENSG00000105755	ENSG00000105755	HGNC:23287													
FARS2	gene	FARS2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 14, 614946						False	3	100;0;0	7.6	True		ENSG00000145982	ENSG00000145982	HGNC:21062													
